xrealip,daily_ip_usage,year,month,day
52.76.116.153,45,2022,06,07
52.76.116.153,13,2022,06,08
52.76.116.153,28,2022,06,09
52.76.116.153,7,2022,06,10
52.76.116.153,6,2022,06,11
52.76.116.153,11,2022,06,12
52.76.116.153,4,2022,06,13
52.76.116.153,77,2022,06,14
52.76.192.139,6,2022,06,02
52.76.192.139,4,2022,06,03
52.76.192.139,2,2022,06,04
52.76.192.139,4,2022,06,05
52.76.192.139,12,2022,06,06
52.76.192.139,8,2022,06,07
52.76.192.139,4,2022,06,08
52.76.192.139,7,2022,06,09
52.76.192.139,4,2022,06,10
52.76.192.139,4,2022,06,11
52.76.192.139,3,2022,06,12
52.76.192.139,3,2022,06,13
52.76.192.139,5,2022,06,14
54.147.230.103,9,2022,06,01
54.179.122.232,8,2022,06,01
54.179.122.232,8,2022,06,02
54.179.122.232,21,2022,06,06
54.179.122.232,11,2022,06,08
54.179.122.232,13,2022,06,09
54.179.122.232,21,2022,06,10
54.179.122.232,10,2022,06,11
54.179.122.232,3,2022,06,12
54.179.122.232,44,2022,06,13
54.179.122.232,2,2022,06,14
54.255.206.65,2,2022,06,14
